platId	agentId	domain	type
44	-1	www.7747f.com	1	1
44	-1	www.7747kk.com	1	1
44	-1	www.7747kkk.com	1	1
44	-1	www.1007747.com	1	1
44	-1	www.2007747.com	1	1
44	-1	www.3007747.com	1	1
44	-1	www.4007747.com	1	1
44	-1	www.5007747.com	1	1
44	-1	www.6007747.com	1	1
44	-1	www.7007747.com	1	1
44	-1	www.8007747.com	1	1
44	-1	www.9007747.com	1	1
44	-1	www.7747001.com	1	1
44	-1	www.7747003.com	1	1
44	-1	www.7747005.com	1	1
44	-1	www.7747009.com	1	1
44	-1	www.bailecai.com	1	1
44	-1	www.blc.bet	1	1
44	-1	www.blcbet.com	1	1
44	-1	www.wwwbailecai.com	1	1
44	-1	www.www-bailecai.com	1	1
44	-1	www.www-blc7747.com	1	1
44	-1	www.blc7747.com	1	1
44	-1	www.7747blc.com	1	1
44	-1	www.7747002.com	1	1
44	-1	www.7747004.com	1	1
44	-1	www.7747006.com	1	1
44	-1	www.7747008.com	1	1
44	-1	blcpt.6blc.com	3	1
44	2250	150285.com	1	1
44	2250	www.150285.com	1	1
44	2285	150286.com	1	1
44	2285	www.150286.com	1	1
44	2290	150287.com	1	1
44	2290	www.150287.com	1	1
44	2246	150386.com	1	1
44	2246	www.150386.com	1	1
44	2248	150387.com	1	1
44	2248	www.150387.com	1	1
44	2252	150389.com	1	1
44	2252	www.150389.com	1	1
44	2253	150685.com	1	1
44	2253	www.150685.com	1	1
44	2305	150687.com	1	1
44	2305	www.150687.com	1	1
44	2299	150827.com	1	1
44	2299	www.150827.com	1	1
44	2310	150835.com	1	1
44	2310	www.150835.com	1	1
44	2266	7747g.com	1	1
44	-1	7747h.com	1	1
44	-1	7747i.com	1	1
44	-1	7747j.com	1	1
44	-1	7747l.com	1	1
44	-1	7747m.com	1	1
44	-1	7747n.com	1	1
44	-1	7747o.com	1	1
44	-1	7747p.com	1	1
44	-1	7747q.com	1	1
44	-1	7747r.com	1	1
44	-1	7747s.com	1	1
44	-1	7747t.com	1	1
44	-1	7747u.com	1	1
44	-1	7747v.com	1	1
44	2398	7747w.com	1	1
44	2446	7747x.com	1	1
44	-1	7747y.com	1	1
44	2249	7747z.com	1	1
44	2266	www.7747g.com	1	1
44	-1	www.7747h.com	1	1
44	-1	www.7747i.com	1	1
44	-1	www.7747j.com	1	1
44	-1	www.7747l.com	1	1
44	-1	www.7747m.com	1	1
44	-1	www.7747n.com	1	1
44	-1	www.7747o.com	1	1
44	-1	www.7747p.com	1	1
44	-1	www.7747q.com	1	1
44	-1	www.7747r.com	1	1
44	-1	www.7747s.com	1	1
44	-1	www.7747t.com	1	1
44	-1	www.7747u.com	1	1
44	-1	www.7747v.com	1	1
44	2398	www.7747w.com	1	1
44	2446	www.7747x.com	1	1
44	-1	www.7747y.com	1	1
44	2249	www.7747z.com	1	1
44	-1	agent.blcdl.com	2	1
44	2342	www.160695.com	1	1
44	2324	www.160689.com	1	1
44	2286	www.160687.com	1	1
44	2325	www.160685.com	1	1
44	2340	www.160679.com	1	1
44	2338	www.160675.com	1	1
44	2303	www.160659.com	1	1
44	2341	www.160657.com	1	1
44	2351	www.160639.com	1	1
44	2327	www.160637.com	1	1
44	2348	www.160635.com	1	1
44	2335	www.160596.com	1	1
44	2336	www.160576.com	1	1
44	2330	www.160565.com	1	1
44	2328	www.160536.com	1	1
44	2326	www.160389.com	1	1
44	2347	www.160387.com	1	1
44	2343	www.160386.com	1	1
44	2242	www.160385.com	1	1
44	2350	www.160376.com	1	1
44	2332	www.160367.com	1	1
44	2333	www.160356.com	1	1
44	2345	www.160269.com	1	1
44	2314	www.160265.com	1	1
44	2339	www.160256.com	1	1
44	2352	www.160187.com	1	1
44	2344	www.153806.com	1	1
44	2359	www.153805.com	1	1
44	2355	www.153606.com	1	1
44	2331	www.152809.com	1	1
44	2360	www.152807.com	1	1
44	2284	www.152806.com	1	1
44	2358	www.152089.com	1	1
44	2334	www.152085.com	1	1
44	2311	www.152029.com	1	1
44	2353	www.151806.com	1	1
44	2349	www.150875.com	1	1
44	2357	www.150869.com	1	1
44	2337	www.152805.com	1	1
44	2329	www.150867.com	1	1
44	2354	www.150865.com	1	1
44	2354	150865.com	1	1
44	2329	150867.com	1	1
44	2337	152805.com	1	1
44	2357	150869.com	1	1
44	2349	150875.com	1	1
44	2353	151806.com	1	1
44	2311	152029.com	1	1
44	2334	152085.com	1	1
44	2358	152089.com	1	1
44	2284	152806.com	1	1
44	2360	152807.com	1	1
44	2331	152809.com	1	1
